Production_Manager  O
Orders  B
Manufacture B
Stores  B
Parts   B
Delivery_Storage    B
SAP_Manufacturing   A
OrderExcel  A
MS_Office   A
MS_Outlook  A
ProSes  A
RDBMS_Oracle8   A
StockAll    A
SycroSys    A
StoreJet    A
JetTrans    A
JetClient   A
Windows_XP  S
Bull_AX S
Windows_NT_4.0  S
Windows_98  S
Call03  H
Call47  H
Call 02 H
admin_room3 H
call4   H
server_MANU001  H
Del_terminal2   H
Del_terminal    H
TransAM H
Hub_Orders  I
Switch_MANU_ORDERS  I
Switch_lower_Comp_RoomII    I
Hub_Warehouse   I
Router_Cisco7206_VXR_Corp_A I
